date,open,high,low,close,volume
2024/02/28,,,,,0
2024/02/29,5850.0,6850.0,5280.0,6260.0,718000
2024/03/01,6360.0,6700.0,5260.0,5260.0,686000
2024/03/04,4960.0,5140.0,4415.0,4545.0,359100
2024/03/05,4480.0,5140.0,4420.0,4730.0,269700
2024/03/06,4575.0,4820.0,4555.0,4635.0,83000
2024/03/07,4700.0,4725.0,4205.0,4475.0,82900
2024/03/08,4405.0,4480.0,4270.0,4325.0,36800
2024/03/11,4255.0,4270.0,3980.0,4130.0,52400
2024/03/12,4130.0,4360.0,4130.0,4320.0,22700
2024/03/13,4260.0,4915.0,4110.0,4505.0,76800
2024/03/14,4470.0,4640.0,4375.0,4530.0,36200
2024/03/15,4460.0,4500.0,4220.0,4230.0,38500
2024/03/18,4190.0,4300.0,4190.0,4230.0,11800
2024/03/19,4225.0,4580.0,4200.0,4520.0,29500
2024/03/21,4530.0,4710.0,4460.0,4580.0,26900
2024/03/22,4585.0,4605.0,4385.0,4400.0,13600
2024/03/25,4380,4695,4380,4610,16700
2024/03/26,4695,4695,4440,4500,18000
2024/03/27,4510,4595,4200,4260,27400
2024/03/28,4215,4530,4215,4505,12300
2024/03/29,4460,4460,4350,4385,6900
2024/04/01,4385,4550,4385,4485,8200
2024/04/02,4485,4590,4460,4590,12500
2024/04/03,4560,4880,4485,4850,38900
2024/04/04,4940,5000,4650,4740,29900
2024/04/05,4690,5240,4650,5210,53500
2024/04/08,5220,5310,4980,5270,26700
2024/04/09,5300,5490,5010,5040,40700
2024/04/10,5040,5250,4910,4910,26700
