year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2020,9,12,,False,548,,-103,-104,-26.3,0
2021,9,12,,False,978,,-395,-404,-102.2,0
2022,9,12,,False,1317,-753,-766,-770,-194.6,0
2023,9,12,,False,2007,-623,-671,-680,-171.8,0
2023,12,3,,False,622,-41,-48,-48,-12.3,
2024,3,3,,False,670,-29,-34,-34,-8.7,
2024,6,3,,False,746,72,69,82,21.0,
2024,9,3,24/11/14,False,814,114,100,184,31.6,
2024,9,12,24/10/22,True,2844,36,14,14,1.2,0
2024,9,12,24/11/14,False,2852,116,87,184,31.6,0
2025,9,12,24/11/14,True,3902,648,609,503,43.3,0
