year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,3,12,99/06/14,False,25770,647,409,26,1.2,0.0
2000,3,12,00/06/12,False,26773,1091,971,111,5.2,3.0
2001,3,12,01/05/28,False,28441,1127,953,329,15.4,5.0
2002,3,12,02/05/27,False,26568,605,382,-104,-4.9,5.0
2003,3,12,03/05/26,False,27293,918,706,101,4.8,5.0
2004,3,12,04/05/24,False,27985,771,576,329,15.5,5.0
2005,3,12,05/05/18,False,29019,694,555,294,13.8,5.0
2006,3,12,06/05/18,False,31632,527,366,230,10.8,5.0
2007,3,12,07/05/18,False,33312,1271,1133,616,28.9,6.0
2008,3,12,08/05/16,False,35697,1445,1176,677,31.8,6.0
2009,3,12,09/05/15,False,32927,-352,-658,-354,-16.6,0.0
2010,3,12,10/05/13,False,30658,2033,1794,997,46.8,6.0
2011,3,12,11/05/12,False,34791,1621,1337,635,29.8,6.0
2012,3,12,12/05/11,False,35833,1174,768,161,7.6,6.0
2013,3,12,13/05/10,False,35182,1241,1126,707,33.2,6.0
2014,3,12,14/05/12,False,37995,324,766,413,19.4,6.0
2015,3,12,15/05/13,False,41463,199,410,14,0.7,6.0
2016,3,12,16/05/13,False,39110,1155,709,-231,-10.8,6.0
2017,3,12,17/05/12,False,38549,2214,1557,317,14.9,6.0
2018,3,12,18/05/11,False,42762,2398,2437,997,46.8,10.0
2019,3,3,19/05/14,False,11088,538,471,970,45.5,
2019,3,12,18/05/11,True,47000,2650,2450,1600,,10.0
2019,3,12,18/11/07,True,46000,2400,2070,1400,,10.0
2019,3,12,19/04/25,True,45294,2200,1894,1908,,10.0
2019,3,12,19/05/14,False,45294,2200,1894,1908,89.5,12.0
2019,6,3,19/08/02,False,10194,382,315,232,10.9,
2019,9,3,19/11/07,False,10779,562,349,340,16.0,
2019,12,3,20/02/06,False,10802,553,487,292,13.7,
2020,3,3,20/05/14,False,10380,509,528,514,24.1,
2020,3,12,19/05/14,True,47000,2500,2300,1700,,15.0
2020,3,12,19/08/02,True,46000,2500,2300,1700,,15.0
2020,3,12,19/11/07,True,43500,2300,1950,1500,,15.0
2020,3,12,20/02/06,True,42400,2050,1750,1400,,15.0
2020,3,12,20/05/14,False,42155,2006,1679,1378,64.6,15.0
2020,6,3,20/08/04,False,9109,-150,-312,-277,-13.0,
2020,9,3,20/11/06,False,9774,405,411,218,10.2,
2020,12,3,21/02/04,False,10592,490,581,451,21.2,
2021,3,3,21/05/13,False,11174,641,745,613,28.7,
2021,3,12,20/05/14,True,40500,1950,1600,1100,,15.0
2021,3,12,20/08/04,True,39500,1200,900,550,,15.0
2021,3,12,20/11/06,True,39000,1030,850,500,,15.0
2021,3,12,21/02/04,True,40000,1100,1000,600,,15.0
2021,3,12,21/04/27,True,40649,1386,1425,1005,,15.0
2021,3,12,21/05/13,False,40649,1386,1425,1005,47.1,15.0
2021,6,3,21/08/06,False,11471,246,608,460,21.6,
2021,9,3,21/11/05,False,12310,366,402,174,8.2,
2021,12,3,22/02/04,False,12864,432,472,236,11.1,
2022,3,3,22/05/13,False,13242,301,451,525,24.6,
2022,3,12,21/05/13,True,,,,,,
2022,3,12,21/11/05,True,49500,1320,1600,930,,15.0
2022,3,12,22/02/04,True,49800,1510,2040,1300,,15.0
2022,3,12,22/05/13,False,49887,1345,1933,1395,65.4,15.0
2022,6,3,22/08/04,False,13093,35,9,-22,-1.0,
2022,9,3,22/11/04,False,14423,268,189,157,7.5,
2022,12,3,23/02/07,False,14553,569,555,387,18.4,
2023,3,3,23/05/12,False,13292,512,426,455,21.6,
2023,3,12,22/05/13,True,56500,2000,1750,1240,,15.0
2023,3,12,22/08/04,True,57400,1490,1260,910,,15.0
2023,3,12,22/11/04,True,56700,1490,1260,910,,15.0
2023,3,12,23/02/07,True,55800,1490,1260,910,,15.0
2023,3,12,23/05/12,False,55361,1384,1179,977,46.3,15.0
2023,6,3,23/08/07,False,12627,-34,-26,-31,-1.5,
2023,9,3,23/11/06,False,12314,290,240,162,7.8,
2023,12,3,24/02/05,False,12802,238,306,191,9.1,
2024,3,3,24/05/14,False,12853,277,223,224,10.7,
2024,3,12,23/05/12,True,55500,1900,1600,1150,,17.0
2024,3,12,23/08/07,True,51500,1000,800,530,,17.0
2024,3,12,23/11/06,True,50500,700,600,390,18.6,17.0
2024,3,12,24/04/30,True,50596,771,743,546,26.0,17
2024,3,12,24/05/14,False,50596,771,743,546,26.0,17
2024,6,3,24/08/05,False,13231,410,449,516,24.6,
2024,9,3,24/11/06,False,13409,482,434,341,16.2,
2025,3,12,24/05/14,True,52500,1300,1100,940,44.7,18
2025,3,12,24/11/06,True,52500,1550,1440,1200,57.1,18
