コード,銘柄名,主市場,貸借区分,1日,14日,無期限,売建可能数量,特別空売り料,T,現在値,前日比,当日株価変動率,日中出来高増減率,ティック数,出来高,直近高値騰落率,逆日歩,直近優待月
6920,レーザーテック,東証,貸借,○,×,○,"31,000",-,▲,"23,020.00",140,-0.56%,-,"52,831","12,889,800",-4.85%,-,
8306,三菱ＵＦＪフィナンシャルＧ,東証,貸借,○,×,○,"1,616,800",-,▼,928.5,-7.1,-0.16%,-,"50,936","78,013,100",-3.96%,-,
4689,Ｚホールディングス,東証,貸借,○,×,○,"207,900",-,▲,420.1,45.7,2.46%,-,"47,759","96,892,300",-2.02%,-,
8002,丸紅,東証,貸借,○,×,○,"194,500",-,▼,"1,646.00",69.5,6.19%,-,"31,161","28,229,200",-0.09%,-,
9107,川崎汽船,東証,貸借,○,×,○,"40,700",-,▲,"2,909.00",125,4.30%,-,"30,389","24,121,100",-0.03%,-,
9101,日本郵船,東証,貸借,○,×,×,0,-,▲,"3,104.00",-61,-2.69%,-,"22,626","21,212,400",-3.75%,-,3月29日
9201,日本航空,東証,貸借,○,×,×,"142,100",-,▲,"2,599.00",-97,0.11%,-,"16,004","14,210,700",-6.61%,-,3月29日
6981,村田製作所,東証,貸借,○,×,○,0,-,▼,"7,691.00",201,-1.27%,-,"15,867","5,312,800",-1.96%,-,
8308,りそなホールディングス,東証,貸借,○,×,×,"76,900",-,▼,705.8,5.2,2.58%,-,"15,801","16,704,700",-2.60%,-,3月29日
4385,メルカリ,東証,貸借,○,×,○,"57,800",-,▼,"2,909.00",19,-1.05%,-,"15,504","7,243,600",-2.38%,0.05,
9202,ＡＮＡホールディングス,東証,貸借,○,×,×,"47,500",-,▲,"2,879.50",47.5,-1.28%,-,"15,222","7,890,500",-1.92%,-,3月29日
8316,三井住友フィナンシャルＧ,東証,貸借,○,×,○,"262,200",-,▲,"5,624.00",28,0.98%,-,"15,005","8,996,100",-2.68%,-,
8031,三井物産,東証,貸借,○,×,○,"181,900",-,▼,"3,854.00",52,2.55%,-,"14,512","9,092,000",-0.89%,-,
9984,ソフトバンクグループ,東証,貸借,○,×,○,"211,100",-,▼,"6,328.00",10,-0.76%,-,"14,461","7,266,800",-1.23%,0.15,
6758,ソニーグループ,東証,貸借,○,×,×,"37,500",-,▲,"12,200.00",710,0.90%,-,"13,543","9,547,900",0.00%,-,3月29日
5401,日本製鉄,東証,貸借,○,×,×,"120,000",-,▲,"2,682.00",-24,-0.77%,-,"13,436","9,158,100",-2.29%,-,3月29日
8411,みずほフィナンシャルＧ,東証,貸借,○,×,○,"36,500",-,▼,"2,027.00",13.5,1.24%,-,"13,286","17,191,200",-1.74%,-,
8604,野村ホールディングス,東証,貸借,○,×,○,"449,700",-,▲,531.9,12.8,2.44%,-,"11,932","20,877,400",-0.70%,-,
6902,デンソー,東証,貸借,○,×,○,"3,900",-,▼,"7,145.00",162,2.74%,-,"11,849","3,569,700",-0.39%,-,
8058,三菱商事,東証,貸借,○,×,○,"153,700",-,▼,"4,298.00",0,0.65%,-,"10,768","6,485,400",-2.45%,-,
