"日付","始値","高値","安値","終値","前日比","出来高","売買代金","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2024/02/08","2,001.0","2,501.0","2,001.0","2,501.0","0.0","2,075,000","4,631,128","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024/03/22","1,534.0","1,660.0","1,470.0","1,660.0","+117.0","160,800","254,307","0","16,800","0.00","-","2.70","1,625.20","2,163.36","-","-","-","127,320","833,480","-"
"2024/03/21","1,700.0","1,720.0","1,540.0","1,543.0","-78.0","147,900","234,284","0","16,800","0.00","-","3.20","1,651.20","2,223.96","-","-","-","108,880","864,400","-"
"2024/03/19","1,645.0","1,756.0","1,615.0","1,621.0","-9.0","75,500","126,647","0","17,300","0.00","-","3.20","1,714.20","2,269.16","-","-","-","93,620","1,008,960","-"
"2024/03/18","1,621.0","1,710.0","1,598.0","1,630.0","-42.0","63,700","104,489","0","16,800","0.00","-","3.20","1,775.00","2,324.52","-","-","-","119,980","1,221,784","-"
"2024/03/15","1,764.0","1,770.0","1,567.0","1,672.0","-118.0","188,700","308,703","0","16,800","0.00","-","3.20","1,790.60","2,359.36","-","-","-","169,600","1,302,236","-"
"2024/03/14","1,818.0","1,858.0","1,756.0","1,790.0","-68.0","68,600","122,744","0","17,100","0.00","-","3.70","1,877.20","-","-","-","-","149,840","-","-"
"2024/03/13","1,901.0","1,977.0","1,809.0","1,858.0","-67.0","71,600","134,358","0","17,100","0.00","-","2.70","1,957.20","-","-","-","-","178,560","-","-"
"2024/03/12","1,701.0","1,980.0","1,686.0","1,925.0","+217.0","207,300","387,589","0","17,100","0.00","-","3.30","2,040.00","-","-","-","-","208,200","-","-"
"2024/03/11","2,000.0","2,005.0","1,651.0","1,708.0","-397.0","311,800","562,196","0","17,300","0.00","-","3.10","2,067.00","-","-","-","-","205,240","-","-"
"2024/03/08","2,240.0","2,280.0","2,082.0","2,105.0","-85.0","89,900","196,932","0","17,300","0.00","-","3.80","2,139.80","-","-","-","-","161,940","-","-"
"2024/03/07","2,422.0","2,448.0","2,136.0","2,190.0","-82.0","212,200","485,306","0","17,500","0.00","-","2.50","2,137.40","-","-","-","-","193,220","-","-"
"2024/03/06","2,060.0","2,326.0","2,019.0","2,272.0","+212.0","219,800","482,609","0","16,000","0.00","-","3.30","2,150.20","-","-","-","-","166,720","-","-"
"2024/03/05","2,132.0","2,192.0","2,001.0","2,060.0","-12.0","192,500","398,891","0","16,400","0.00","-","2.80","2,158.80","-","-","-","-","183,100","-","-"
"2024/03/04","2,093.0","2,155.0","2,020.0","2,072.0","-21.0","95,300","197,863","0","15,900","0.00","-","3.70","2,218.00","-","-","-","-","195,640","-","-"
"2024/03/01","2,220.0","2,260.0","2,000.0","2,093.0","-161.0","246,300","520,327","0","16,000","0.00","-","4.70","2,311.80","-","-","-","-","271,100","-","-"
"2024/02/29","2,274.0","2,363.0","2,238.0","2,254.0","-61.0","79,700","182,445","0","15,100","0.00","-","6.70","2,398.80","-","-","-","-","385,820","-","-"
"2024/02/28","2,285.0","2,390.0","2,207.0","2,315.0","-41.0","301,700","691,459","0","15,000","0.00","-","6.70","2,500.80","-","-","-","-","825,300","-","-"
"2024/02/27","2,510.0","2,560.0","2,356.0","2,356.0","-185.0","255,200","618,260","0","13,500","0.00","-","3.90","2,604.00","-","-","-","-","1,836,100","-","-"
"2024/02/26","2,543.0","2,715.0","2,528.0","2,541.0","+13.0","472,600","1,222,045","0","13,500","0.00","-","8.10","2,741.80","-","-","-","-","2,771,500","-","-"
"2024/02/22","2,717.0","2,870.0","2,500.0","2,528.0","-236.0","819,900","2,158,863","0","6,900","0.00","-","3.50","2,741.80","-","-","-","-","2,798,020","-","-"
"2024/02/21","2,751.0","3,060.0","2,736.0","2,764.0","-67.0","2,277,100","6,632,354","0","8,600","0.00","-","6.90","2,778.20","-","-","-","-","3,311,200","-","-"
"2024/02/20","3,120.0","3,250.0","2,772.0","2,831.0","-214.0","5,355,700","16,201,489","0","6,400","0.00","-","6.80","2,860.40","-","-","-","-","3,042,540","-","-"
"2024/02/19","2,481.0","3,045.0","2,307.0","3,045.0","+504.0","4,932,200","14,153,521","0","8,900","0.00","-","4.80","2,828.80","-","-","-","-","2,723,780","-","-"
"2024/02/16","2,641.0","2,720.0","2,502.0","2,541.0","-169.0","605,200","1,557,082","0","15,900","0.00","-","8.00","2,820.80","-","-","-","-","2,816,560","-","-"
"2024/02/15","3,340.0","3,475.0","2,549.0","2,710.0","-465.0","3,385,800","9,814,635","0","12,800","0.00","-","4.70","2,812.80","-","-","-","-","3,110,520","-","-"
"2024/02/14","3,025.0","3,175.0","2,970.0","3,175.0","+502.0","933,800","2,875,754","0","6,200","0.00","-","5.60","-","-","-","-","-","-","-","-"
"2024/02/13","3,285.0","3,355.0","2,606.0","2,673.0","-332.0","3,761,900","11,457,925","0","13,500","0.00","-","4.40","-","-","-","-","-","-","-","-"
"2024/02/09","2,851.0","3,005.0","2,606.0","3,005.0","+504.0","5,396,100","15,561,471","0","11,700","0.00","-","3.90","-","-","-","-","-","-","-","-"
