"日付","始値","高値","安値","終値","前日比","出来高","売買代金","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2019/07/12","5,680.0","5,740.0","5,620.0","5,650.0","+250.0","1,071,300","6,075,744","-","-","-","-","-","5,442.00","5,226.80","5,366.80","5,681.60","6,347.95","483,700","316,624","428,772"
"2023/05/25","6,420.0","6,500.0","6,400.0","6,450.0","-10.0","219,000","1,415,915","82,600","300","0.00","0.15","-","6,462.00","6,232.80","5,691.20","5,538.05","5,165.90","261,400","302,504","266,626"
"2022/10/03","4,600.0","4,605.0","4,490.0","4,555.0","-185.0","546,900","2,484,974","0","11,700","0.00","-","-","4,703.00","4,677.00","4,650.73","4,621.80","4,802.05","446,340","367,968","387,252"
"2022/07/21","4,680.0","4,745.0","4,655.0","4,740.0","+20.0","303,100","1,429,740","0","8,500","0.00","-","-","4,722.00","4,523.60","4,573.07","4,626.25","5,016.20","395,440","520,124","753,125"
"2022/06/22","4,335.0","4,380.0","4,305.0","4,365.0","+75.0","447,000","1,947,096","0","12,200","0.00","-","-","4,301.00","4,428.00","4,628.07","4,693.75","5,120.68","482,480","904,576","705,156"
"2022/06/20","4,300.0","4,325.0","4,260.0","4,265.0","-45.0","303,700","1,300,173","0","13,600","0.00","-","-","4,280.00","4,448.80","4,639.33","4,705.60","5,132.65","614,140","934,632","703,390"
"2022/06/16","4,305.0","4,350.0","4,275.0","4,275.0","-10.0","461,100","1,983,273","0","12,500","0.00","-","-","4,299.00","4,482.40","4,652.47","4,716.85","5,146.98","772,520","968,580","702,781"
"2022/06/15","4,300.0","4,315.0","4,265.0","4,285.0","+20.0","556,300","2,385,864","0","12,900","0.00","-","-","4,325.00","4,508.00","4,660.47","4,723.50","5,154.60","815,820","970,872","705,948"
"2017/03/31","7,620.0","7,640.0","7,550.0","7,550.0","-20.0","442,000","3,355,394","0","21,800","0.00","-","-","7,620.00","7,700.00","8,000.00","7,957.60","7,927.10","326,800","373,268","492,810"
"2017/03/30","7,650.0","7,660.0","7,540.0","7,570.0","-110.0","323,000","2,450,898","0","21,200","0.00","-","-","7,646.00","7,719.20","8,003.87","7,961.00","7,933.95","287,120","380,152","494,130"
"2017/03/28","7,660.0","7,680.0","7,630.0","7,680.0","+60.0","270,500","2,073,119","0","20,000","0.00","-","-","7,632.00","7,753.20","8,011.73","7,968.50","7,946.65","298,540","390,948","493,154"
"2017/03/27","7,680.0","7,700.0","7,580.0","7,620.0","-60.0","351,300","2,679,491","0","20,200","0.00","-","-","7,630.00","7,766.40","8,014.53","7,971.60","7,952.85","295,180","396,508","493,693"
"2017/03/23","7,600.0","7,620.0","7,540.0","7,610.0","+40.0","322,900","2,451,254","0","21,100","0.00","-","-","7,646.00","7,796.40","8,022.13","7,977.10","7,963.90","328,780","416,312","492,801"
"2017/03/21","7,620.0","7,710.0","7,620.0","7,670.0","+30.0","253,700","1,944,770","0","19,500","0.00","-","-","7,682.00","7,839.60","8,032.00","7,983.90","7,975.30","365,580","502,964","497,212"
"2017/03/17","7,680.0","7,680.0","7,600.0","7,640.0","-100.0","453,100","3,461,149","0","16,300","0.00","-","-","7,696.00","7,860.00","8,036.27","7,986.00","7,979.95","357,820","545,932","497,153"
"2017/03/16","7,760.0","7,780.0","7,710.0","7,740.0","+30.0","309,800","2,400,350","0","14,400","0.00","-","-","7,716.00","7,884.00","8,040.40","7,988.80","7,984.65","327,260","617,792","494,849"
"2017/03/13","7,740.0","7,770.0","7,740.0","7,740.0","0.0","214,900","1,665,233","0","14,700","0.00","-","-","7,758.00","7,952.00","8,049.07","7,993.10","7,995.80","287,400","658,668","489,648"
"2017/03/10","7,740.0","7,760.0","7,720.0","7,740.0","+30.0","300,300","2,324,421","0","14,200","0.00","-","-","7,762.00","7,968.80","8,050.13","7,993.70","7,999.90","299,560","662,168","491,162"
"2017/03/09","7,760.0","7,760.0","7,710.0","7,710.0","-40.0","179,000","1,382,750","0","14,500","0.00","-","-","7,766.00","7,985.20","8,049.60","7,994.30","8,004.20","317,600","671,036","490,638"
"2017/03/08","7,790.0","7,820.0","7,730.0","7,750.0","-100.0","372,900","2,894,422","0","13,800","0.00","-","-","7,778.00","8,004.40","8,050.00","7,993.90","8,009.15","376,260","684,108","491,822"
"2017/03/07","7,740.0","7,850.0","7,740.0","7,850.0","+90.0","369,900","2,896,006","0","11,600","0.00","-","-","7,780.00","8,024.40","8,050.13","7,995.20","8,014.00","399,700","683,976","491,490"
"2017/02/27","7,790.0","7,790.0","7,720.0","7,740.0","-60.0","812,300","6,294,764","0","50,600","0.00","-","-","7,934.00","8,114.00","8,044.00","8,008.60","8,040.15","560,280","695,144","485,898"
"2017/02/24","7,810.0","7,900.0","7,800.0","7,800.0","-230.0","534,900","4,189,560","0","48,300","0.00","-","-","7,988.00","8,126.00","8,043.87","8,010.70","8,043.75","479,720","694,940","482,560"
"2017/02/23","8,040.0","8,060.0","8,020.0","8,030.0","-20.0","614,100","4,938,485","0","35,100","0.00","-","-","8,026.00","8,134.40","8,043.47","8,011.90","8,046.55","467,540","694,808","482,281"
"2017/02/22","8,090.0","8,090.0","8,010.0","8,050.0","0.0","484,300","3,896,240","0","32,900","0.00","-","-","8,032.00","8,129.20","8,041.60","8,011.20","8,048.90","467,920","702,364","478,150"
"2017/02/21","8,000.0","8,070.0","7,990.0","8,050.0","+40.0","355,800","2,861,673","0","34,500","0.00","-","-","8,038.00","8,126.40","8,041.20","8,010.00","8,051.30","531,780","715,352","475,145"
"2017/02/20","8,020.0","8,030.0","7,950.0","8,010.0","+20.0","409,500","3,273,903","0","32,800","0.00","-","-","8,064.00","8,126.80","8,040.27","8,009.00","8,054.00","858,620","721,924","473,774"
"2017/02/17","8,070.0","8,070.0","7,980.0","7,990.0","-70.0","474,000","3,794,833","0","32,200","0.00","-","-","8,098.00","8,130.00","8,040.00","8,007.80","8,057.30","1,042,300","718,972","476,153"
"2017/02/16","8,150.0","8,150.0","8,020.0","8,060.0","-20.0","616,000","4,968,642","0","36,000","0.00","-","-","8,148.00","8,135.20","8,038.93","8,006.20","8,061.15","1,397,420","714,708","472,844"
"2017/02/15","8,230.0","8,230.0","8,080.0","8,080.0","-100.0","803,600","6,539,918","0","18,200","0.00","-","-","8,184.00","8,136.80","8,037.33","8,004.60","8,064.30","1,450,760","717,684","467,324"
"2017/02/14","8,140.0","8,240.0","8,130.0","8,180.0","0.0","1,990,000","16,272,044","0","19,500","0.00","-","-","8,246.00","8,141.60","8,035.73","8,003.10","8,067.25","1,469,320","697,124","459,708"
"2017/02/13","8,250.0","8,350.0","8,110.0","8,180.0","-60.0","1,327,900","10,863,009","0","21,500","0.00","-","-","8,244.00","8,143.20","8,032.00","7,995.40","8,069.25","1,144,100","637,320","435,288"
"2017/02/10","8,390.0","8,430.0","8,000.0","8,240.0","0.0","2,249,600","18,464,766","0","14,400","0.00","-","-","8,240.00","8,146.00","8,028.00","7,987.50","8,071.25","939,000","601,116","420,208"
"2017/02/08","8,230.0","8,410.0","8,200.0","8,390.0","+220.0","896,400","7,451,936","0","9,300","0.00","-","-","8,212.00","8,149.60","8,018.53","7,968.70","8,076.20","518,100","507,272","386,258"
"2017/02/07","8,120.0","8,220.0","8,110.0","8,170.0","+10.0","363,900","2,975,433","0","30,100","0.00","-","-","8,184.00","8,142.40","8,011.20","7,959.30","8,079.75","412,740","481,000","377,193"
"2017/02/06","8,190.0","8,210.0","8,130.0","8,160.0","+10.0","302,400","2,466,666","0","32,400","0.00","-","-","8,198.00","8,144.40","8,006.80","7,952.20","8,083.95","447,900","478,420","376,037"
"2017/02/03","8,200.0","8,220.0","8,140.0","8,150.0","-40.0","522,000","4,266,069","0","38,300","0.00","-","-","8,216.00","8,146.00","8,002.00","7,944.70","8,088.50","481,520","474,888","376,801"
"2017/02/02","8,240.0","8,270.0","8,150.0","8,190.0","-60.0","505,800","4,148,746","0","37,500","0.00","-","-","8,220.00","8,148.40","7,997.33","7,937.00","8,093.50","471,780","464,324","380,098"
"2017/02/01","8,210.0","8,270.0","8,180.0","8,250.0","+10.0","369,600","3,043,017","0","33,800","0.00","-","-","8,200.00","8,151.20","7,990.40","7,928.50","8,097.60","484,200","450,608","387,085"
"2017/01/31","8,250.0","8,310.0","8,210.0","8,240.0","-10.0","539,700","4,456,353","0","42,500","0.00","-","-","8,166.00","8,151.60","7,985.47","7,918.10","8,101.90","492,860","448,032","385,654"
"2017/01/30","8,170.0","8,270.0","8,170.0","8,250.0","+80.0","470,500","3,872,945","0","43,900","0.00","-","-","8,130.00","8,153.20","7,980.80","7,908.30","8,106.45","464,820","441,296","384,718"
"2017/01/27","8,100.0","8,190.0","8,090.0","8,170.0","+80.0","473,300","3,858,677","0","53,000","0.00","-","-","8,088.00","8,155.60","7,977.73","7,900.40","8,111.65","532,160","436,540","382,324"
"2017/01/26","8,080.0","8,110.0","8,040.0","8,090.0","+10.0","567,900","4,587,391","0","61,300","0.00","-","-","8,056.00","8,155.20","7,975.60","7,893.70","8,117.00","543,820","428,176","381,069"
"2017/01/25","8,100.0","8,100.0","8,050.0","8,080.0","+20.0","412,900","3,333,011","0","60,900","0.00","-","-","8,018.00","8,159.20","7,975.20","7,891.90","8,123.65","590,840","416,868","378,213"
"2017/01/24","8,040.0","8,070.0","8,030.0","8,060.0","+20.0","399,500","3,216,398","0","64,900","0.00","-","-","7,998.00","8,163.20","7,974.67","7,890.10","8,131.25","670,060","421,576","377,572"
"2017/01/23","8,060.0","8,080.0","8,010.0","8,040.0","+30.0","807,200","6,501,033","0","66,400","0.00","-","-","7,998.00","8,162.00","7,973.47","7,888.00","8,139.20","694,180","423,176","378,448"
"2017/01/20","7,960.0","8,050.0","7,950.0","8,010.0","+110.0","531,600","4,255,612","0","68,000","0.00","-","-","8,008.00","8,165.20","7,972.27","7,884.80","8,147.45","599,880","409,992","372,920"
"2017/01/19","7,970.0","7,980.0","7,890.0","7,900.0","-80.0","803,000","6,366,533","0","78,700","0.00","-","-","8,030.00","8,165.60","7,971.07","7,880.60","8,154.65","567,040","410,356","369,662"
"2017/01/18","8,050.0","8,060.0","7,960.0","7,980.0","-80.0","809,000","6,467,050","0","64,800","0.00","-","-","8,070.00","8,163.20","7,971.87","7,876.20","8,163.80","544,520","399,876","365,726"
"2017/01/17","8,090.0","8,100.0","8,010.0","8,060.0","-30.0","520,100","4,189,794","0","57,300","0.00","-","-","8,114.00","8,162.00","7,971.20","7,871.50","8,171.40","440,640","377,932","359,581"
"2017/01/16","8,100.0","8,170.0","8,070.0","8,090.0","-30.0","335,700","2,721,800","0","58,800","0.00","-","-","8,146.00","8,155.20","7,969.73","7,867.20","8,178.40","435,600","366,592","359,254"
