"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,354,878,707,540","0.61%","23.10","6.10","34.94","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,901,934,277,960","0.99%","26.20","9.88","11.65","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,220,637,970,000","0.00%","8.28","4.52","2.43","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,220,637,970,000","0.00%","8.09","4.52","2.37","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$984,867,694,151","0.00%","45.99","2.06","7.35","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$701,454,855,762","0.00%","4.92","1.98","0.80","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$610,086,617,762","0.00%","72.64","9.81","17.90","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$511,799,048,226","1.13%","28.75","1.73","6.89","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$465,378,082,046","2.48%","23.57","4.90","6.26","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$458,530,789,494","3.15%","17.69","1.49","2.70","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$421,382,700,000","0.09%","43.75","15.66","16.03","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$413,704,146,358","1.45%","32.03","0.72","5.41","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$410,219,962,341","0.72%","29.93","15.23","11.40","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$405,310,251,424","2.87%","9.87","3.37","1.40","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$355,821,100,647","2.40%","24.39","4.47","7.83","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$354,455,281,867","3.06%","17.21","2.00","2.41","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$352,592,015,132","1.05%","57.41","12.02","37.71","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$339,935,403,812","0.55%","36.26","17.09","48.92","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$331,677,130,268","2.32%","20.27","2.17","-195.92","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$317,689,000,000","0.00%","0.00","0.00","0.00","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$303,649,060,246","2.23%","9.91","3.39","1.10","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$285,043,688,279","3.45%","22.91","5.03","17.55","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$281,395,457,740","3.15%","11.48","3.05","3.48","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$279,197,804,657","2.48%","19.63","5.17","6.81","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$275,082,288,723","2.74%","26.76","6.86","11.10","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$255,578,835,362","2.38%","25.20","3.16","14.07","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$238,674,285,191","0.65%","43.29","1.14","12.29","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$223,862,689,134","1.53%","29.99","5.35","-26.08","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$223,167,952,300","2.95%","29.63","7.83","9.71","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$219,715,794,943","0.21%","29.12","5.34","5.41","Analyze"
