現地コード,銘柄名(English),銘柄名,市場,業種,取扱
A,AGILENT TECH,アジレント・テクノロジー,NYSE,その他,○
AA,ALCOA CORP,アルコア,NYSE,アルミ,○
AADI,AADI BIOSCIENCE,アーディ・バイオサイエンス,NASDAQ,医薬品（バイオテクノロジー）,○
AAL,AMERICAN AIRLINE,アメリカン・エアーラインズ・グループ,NASDAQ,航空,○
AAMI,ACADIAN ASSET,アカディアン・アセット・マネジメント,NYSE,その他,○
AAOI,APPLIED OPTOELEC,アプライド・オプトエレクトロニクス,NASDAQ,その他製造,○
AAON,AAON INC,AAON,NASDAQ,その他製造,○
AAP,ADVANCE AUTO PAR,アドバンス・オート・パーツ,NYSE,小売,○
AAPB,GNS AAPL 2X LONG,グラナイトシェアーズ2倍ロングAAPLデイリーETF,NASDAQ,その他,○
AAPD,DRX AAPL BR1X,Direxion デイリー AAPL株 ベア1倍 ETF,NASDAQ,その他,○
AAPG,ASCENTAGE PHARMA,アセンテージ・ファーマ・グループ・インターナショナル,NASDAQ,医薬品（バイオテクノロジー）,○
AAPL,APPLE INC,アップル,NASDAQ,コンピュータ,○
AAPU,DRX AAPL BL2X,Direxion デイリー AAPL ブル2倍株式,NASDAQ,その他,○
ABBV,ABBVIE INC,アッヴィ,NYSE,医薬品,○
ABCB,AMERIS BANCORP,アメリス・バンコープ,NYSE,金融（銀行）,○
ABCL,ABCELLERA BIOLOG,アブセレラ・バイオロジクス,NASDAQ,医薬品,○
ABEO,ABEONA THERAPE,アベオナ・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
ABEV,AMBEV SA ADR,アンベブ,NYSE,飲料,○
ABG,ASBURY AUTOMOTIV,アズベリー・オートモーティブ・グループ,NYSE,小売,○
ABL,ABACUS LIFE INC,アバカス・ライフ,NASDAQ,金融(保険),○
ABM,ABM INDUSTRIES,ABMインダストリーズ,NYSE,ソフトウェア・サービス,○
ABNB,AIRBNB,エアビーアンドビー,NASDAQ,ソフトウェア・サービス,○
ABOS,ACUMEN PHARMA,アキューメン・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
ABSI,ABSCI CORP,アブサイ,NASDAQ,医薬品（バイオテクノロジー）,○
ABT,ABBOTT LABOR,アボットラボラトリーズ,NYSE,医薬品,○
ABTS,ABITS GROUP,アビッツ・グループ,NASDAQ,ソフトウェア・サービス,○
ABUS,ARBUTUS BIOPHARM,アービュタス・バイオファーマ,NASDAQ,医薬品（バイオテクノロジー）,○
ABVC,ABVC BIOPHARMA,ABVCバイオファーマ,NASDAQ,医薬品（バイオテクノロジー）,○
AC,ASSOCIAT CAPITAL,アソシエイテッド・キャピタル・グループ,NYSE,金融コングロマリット,○
